Repeat,#Households,Result,Demand Profile,FW-DDSM-CP,,,FW-DDSM-OGSA,,
,,,,min,median,max,min,median,max
0,50,PAR,Preferred,1.79,1.79,1.79,1.79,1.79,1.79
0,50,DR,Preferred,0%,0%,0%,0%,0%,0%
0,50,CR,Preferred,0%,0%,0%,0%,0%,0%
0,50,PAR,Optimised,1.02,1.02,1.02,1.01,1.01,1.01
0,50,DR,Optimised,43%,43%,43%,43%,43%,43%
0,50,CR,Optimised,11%,11%,11%,11%,11%,11%
0,50,PAR,Actual,1.72,1.99,2.55,1.61,1.72,1.85
0,50,PAR-D,Actual,0.7,0.97,1.53,0.6,0.71,0.84
0,50,DR,Actual,-43%,-12%,4%,-4%,4%,10%
0,50,DR-D,Actual,39%,55%,86%,33%,39%,47%
0,50,CR,Actual,-453%,-77%,6%,-15%,6%,8%
0,50,CR-D,Actual,5%,88%,464%,3%,5%,26%
0,100,PAR,Preferred,1.96,1.96,1.96,1.96,1.96,1.96
0,100,DR,Preferred,0%,0%,0%,0%,0%,0%
0,100,CR,Preferred,0%,0%,0%,0%,0%,0%
0,100,PAR,Optimised,1.03,1.03,1.03,1.03,1.03,1.03
0,100,DR,Optimised,47%,47%,47%,47%,47%,47%
0,100,CR,Optimised,6%,6%,6%,6%,6%,6%
0,100,PAR,Actual,1.4,1.82,2.07,1.42,1.57,1.69
0,100,PAR-D,Actual,0.37,0.79,1.04,0.39,0.54,0.66
0,100,DR,Actual,-6%,7%,28%,14%,20%,28%
0,100,DR-D,Actual,19%,40%,53%,19%,27%,33%
0,100,CR,Actual,-33%,4%,6%,5%,5%,6%
0,100,CR-D,Actual,0%,2%,39%,0%,1%,1%
0,500,PAR,Preferred,1.31,1.31,1.31,1.31,1.31,1.31
0,500,DR,Preferred,0%,0%,0%,0%,0%,0%
0,500,CR,Preferred,0%,0%,0%,0%,0%,0%
0,500,PAR,Optimised,1.06,1.06,1.06,1.06,1.06,1.06
0,500,DR,Optimised,19%,19%,19%,19%,19%,19%
0,500,CR,Optimised,12%,12%,12%,12%,12%,12%
0,500,PAR,Actual,1.21,1.25,1.32,1.15,1.44,1.48
0,500,PAR-D,Actual,0.15,0.19,0.26,0.09,0.38,0.42
0,500,DR,Actual,-1%,5%,7%,-13%,-10%,12%
0,500,DR-D,Actual,12%,14%,20%,7%,29%,32%
0,500,CR,Actual,5%,6%,9%,-44%,-38%,10%
0,500,CR-D,Actual,3%,6%,7%,2%,50%,56%
0,1000,PAR,Preferred,1.36,1.36,1.36,1.36,1.36,1.36
0,1000,DR,Preferred,0%,0%,0%,0%,0%,0%
0,1000,CR,Preferred,0%,0%,0%,0%,0%,0%
0,1000,PAR,Optimised,1.11,1.11,1.11,1.1,1.1,1.1
0,1000,DR,Optimised,18%,18%,18%,19%,19%,19%
0,1000,CR,Optimised,7%,7%,7%,7%,7%,7%
0,1000,PAR,Actual,1.18,1.19,1.22,1.14,1.15,1.19
0,1000,PAR-D,Actual,0.07,0.08,0.11,0.04,0.05,0.09
0,1000,DR,Actual,10%,12%,13%,12%,15%,16%
0,1000,DR-D,Actual,5%,6%,8%,3%,4%,7%
0,1000,CR,Actual,6%,6%,7%,6%,7%,7%
0,1000,CR-D,Actual,0%,1%,1%,0%,0%,1%
0,2000,PAR,Preferred,1.26,1.26,1.26,1.26,1.26,1.26
0,2000,DR,Preferred,0%,0%,0%,0%,0%,0%
0,2000,CR,Preferred,0%,0%,0%,0%,0%,0%
0,2000,PAR,Optimised,1.1,1.1,1.1,1.1,1.1,1.1
0,2000,DR,Optimised,13%,13%,13%,13%,13%,13%
0,2000,CR,Optimised,9%,9%,9%,9%,9%,9%
0,2000,PAR,Actual,1.1,1.12,1.14,1.1,1.12,1.13
0,2000,PAR-D,Actual,0,0.02,0.04,0,0.02,0.03
0,2000,DR,Actual,10%,11%,12%,10%,11%,13%
0,2000,DR-D,Actual,1%,2%,3%,0%,2%,3%
0,2000,CR,Actual,7%,8%,8%,8%,8%,8%
0,2000,CR-D,Actual,1%,1%,2%,1%,1%,1%
0,4000,PAR,Preferred,1.18,1.18,1.18,1.18,1.18,1.18
0,4000,DR,Preferred,0%,0%,0%,0%,0%,0%
0,4000,CR,Preferred,0%,0%,0%,0%,0%,0%
0,4000,PAR,Optimised,1.03,1.03,1.03,1.03,1.03,1.03
0,4000,DR,Optimised,13%,13%,13%,13%,13%,13%
0,4000,CR,Optimised,14%,14%,14%,14%,14%,14%
0,4000,PAR,Actual,1.05,1.06,1.07,1.06,1.07,1.13
0,4000,PAR-D,Actual,0.02,0.03,0.04,0.03,0.04,0.1
0,4000,DR,Actual,9%,11%,11%,5%,10%,11%
0,4000,DR-D,Actual,2%,2%,4%,2%,3%,8%
0,4000,CR,Actual,13%,13%,14%,13%,13%,13%
0,4000,CR-D,Actual,0%,1%,1%,1%,1%,1%
0,6000,PAR,Preferred,1.21,1.21,1.21,1.21,1.21,1.21
0,6000,DR,Preferred,0%,0%,0%,0%,0%,0%
0,6000,CR,Preferred,0%,0%,0%,0%,0%,0%
0,6000,PAR,Optimised,1.06,1.06,1.06,1.03,1.03,1.03
